"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1788","Example #1","chromium","2026-04-02","passed","2026-04-02","Login Functionality > Verify user is not able to login with invalid credentials","tests/Features/login.feature.spec.js","",""
"","2175","Example #1","chromium","2026-04-02","passed","2026-04-02","Login Functionality > Verify user is able to login with valid credentials","tests/Features/login.feature.spec.js","",""
